donor_id,donor_name,donor_age,donor_color,sample_well,sample_polygon,sample_mri_0,sample_mri_1,sample_mri_2,structure_id,structure_name,structure_abbreviation,structure_color,top_level_structure_id,top_level_structure_name,top_level_structure_abbreviation,top_level_structure_color
309335438,"H14.09.001","","000000",320630832,310790374,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335439,"H14.09.002","","000000",320630842,310790372,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335440,"H14.09.003","","000000",320630856,310790368,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335441,"H14.09.004","","000000",320630858,310892446,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335442,"H14.09.005","","000000",320630973,310790082,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335443,"H14.09.006","","000000",320630985,310790077,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335444,"H14.09.007","","000000",320630949,310891734,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335445,"H14.09.008","","000000",320630971,311021819,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335446,"H14.09.009","","000000",321912245,313082798,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335447,"H14.09.010","","000000",321912253,313082790,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335449,"H14.09.012","","000000",321912263,313113936,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335451,"H14.09.014","","000000",321912275,313077047,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335452,"H14.09.015","","000000",321912283,313082614,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335454,"H14.09.017","","000000",321912204,313795981,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335455,"H14.09.018","","000000",321912212,313793341,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335456,"H14.09.019","","000000",395319175,320229541,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335457,"H14.09.020","","000000",395319183,320806633,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335460,"H14.09.023","","000000",395319203,320230468,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335461,"H14.09.024","","000000",395319211,320231205,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335462,"H14.09.025","","000000",395319219,320812259,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335463,"H14.09.026","","000000",395325144,320231523,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335464,"H14.09.027","","000000",395325152,320809323,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335465,"H14.09.028","","000000",395325154,320965899,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335466,"H14.09.029","","000000",395325162,320812618,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335467,"H14.09.030","","000000",395325166,320817993,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335468,"H14.09.031","","000000",441278398,330074194,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335469,"H14.09.032","","000000",441278406,330085153,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335470,"H14.09.033","","000000",441278414,330097760,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335471,"H14.09.034","","000000",441278422,330112539,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335474,"H14.09.037","","000000",441278430,330124914,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335475,"H14.09.038","","000000",441278438,330171762,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335478,"H14.09.041","","000000",472517765,471086126,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335479,"H14.09.042","","000000",472517767,470087464,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335481,"H14.09.044","","000000",441298699,382980567,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335482,"H14.09.045","","000000",472517773,470088515,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335484,"H14.09.047","","000000",472517789,470090398,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335485,"H14.09.048","","000000",472517797,470094579,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335486,"H14.09.049","","000000",472517805,470095174,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335487,"H14.09.050","","000000",472517875,470527539,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335488,"H14.09.051","","000000",472517883,470530010,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335489,"H14.09.052","","000000",472517891,470531240,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335490,"H14.09.053","","000000",475848350,471915920,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335491,"H14.09.054","","000000",475848358,471917212,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335492,"H14.09.055","","000000",475848366,471926160,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335493,"H14.09.056","","000000",475848374,471933800,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335494,"H14.09.057","","000000",475848382,471943331,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335495,"H14.09.058","","000000",475848390,471951776,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
309335497,"H14.09.060","","000000",475848534,475235841,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765648,"H14.09.061","","000000",475848542,474619020,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765649,"H14.09.062","","000000",475848550,475034384,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765650,"H14.09.063","","000000",477135129,475585383,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765651,"H14.09.064","","000000",477135137,475585459,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765652,"H14.09.065","","000000",477135145,475236265,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765653,"H14.09.066","","000000",477135147,475236537,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765654,"H14.09.067","","000000",477135155,475585506,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765655,"H14.09.068","","000000",477135163,475585523,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765656,"H14.09.069","","000000",477135172,475846137,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765657,"H14.09.070","","000000",477135252,475846167,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765658,"H14.09.071","","000000",477135261,475846416,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765659,"H14.09.072","","000000",477135269,475738079,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765661,"H14.09.074","","000000",480148745,477050150,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765662,"H14.09.075","","000000",480148753,477284565,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765663,"H14.09.076","","000000",480148761,476799204,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765665,"H14.09.078","","000000",480148773,476799703,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765667,"H14.09.080","","000000",480149033,477051570,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765668,"H14.09.081","","000000",480149041,477052332,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765669,"H14.09.082","","000000",480149049,477284558,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765671,"H14.09.084","","000000",480149625,478891109,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765672,"H14.09.085","","000000",480149627,478891174,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765673,"H14.09.086","","000000",480149631,478891359,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
326765674,"H14.09.087","","000000",480149639,478891117,-1,-1,-1,10294,"hippocampus (hippocampal formation)","HIP","BFB5D5",10153,"neural plate","NP","D7D8D8"
