donor_id,donor_name,donor_age,donor_color,sample_well,sample_polygon,sample_mri_0,sample_mri_1,sample_mri_2,structure_id,structure_name,structure_abbreviation,structure_color,top_level_structure_id,top_level_structure_name,top_level_structure_abbreviation,top_level_structure_color
309335438,"H14.09.001","","000000",320630836,310790570,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
309335439,"H14.09.002","","000000",320630846,310790558,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
309335441,"H14.09.004","","000000",320630864,310967164,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
309335443,"H14.09.006","","000000",320630981,310790540,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
309335444,"H14.09.007","","000000",320630953,310971281,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
309335446,"H14.09.009","","000000",321912249,313118379,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
309335447,"H14.09.010","","000000",321912257,313082680,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
309335450,"H14.09.013","","000000",321912271,313149625,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
309335451,"H14.09.014","","000000",321912279,313077363,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
309335452,"H14.09.015","","000000",321912194,313082208,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
309335453,"H14.09.016","","000000",321912200,313082568,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
309335454,"H14.09.017","","000000",321912208,313793277,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
309335455,"H14.09.018","","000000",321912216,313793544,-1,-1,-1,10208,"parietal neocortex","PCx","F0DABE",10153,"neural plate","NP","D7D8D8"
